p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,valid_n_trades,valid_total_return,valid_win_rate,valid_sharpe,valid_max_dd,test_n_trades,test_total_return,test_win_rate,test_sharpe,test_max_dd,forward_n_trades,forward_total_return,forward_win_rate,forward_sharpe,forward_max_dd,score
0.52,0.45,9,0.06,30,3,-0.068,0.3333,-1.349,-0.068,8,0.1184,0.375,0.892,-0.0597,13,0.5436,0.6923,1.59,-0.0994,0.046926
0.51,0.45,6,0.08,30,3,-0.152,0.0,-3.363,-0.152,9,-0.005,0.3333,0.039,-0.1061,16,0.6426,0.6875,1.616,-0.1337,0.04653825000000001
0.55,0.47,9,0.06,30,4,-0.0825,0.5,-1.36,-0.0825,4,-0.0338,0.25,-1.222,-0.0455,12,0.6187,0.6667,1.803,-0.1053,0.046245375
0.53,0.4,15,0.08,30,0,0.0,0.0,0.0,0.0,4,-0.0428,0.25,-1.485,-0.0504,5,0.2056,0.6,0.798,-0.0785,0.04605
0.49,0.4,15,0.08,30,0,0.0,0.0,0.0,0.0,7,0.0032,0.2857,0.114,-0.0632,7,0.1813,0.5714,0.809,-0.0409,0.045724999999999995
0.52,0.47,15,0.07,30,4,-0.0645,0.5,-1.126,-0.0751,7,0.0413,0.4286,0.42,-0.0995,12,0.5585,0.6667,1.586,-0.0749,0.04511924999999999
0.53,0.43,6,0.07,30,0,0.0,0.0,0.0,0.0,6,0.0452,0.3333,0.455,-0.0859,8,0.1578,0.5,0.637,-0.1179,0.0451
0.55,0.4,9,0.08,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,5,0.1966,0.6,0.755,-0.0854,0.044425
0.55,0.4,12,0.08,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,5,0.1966,0.6,0.755,-0.0854,0.044425
0.55,0.4,15,0.08,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,5,0.1966,0.6,0.755,-0.0854,0.044425
0.53,0.45,12,0.06,30,3,-0.068,0.3333,-1.349,-0.068,6,0.1799,0.5,1.395,-0.0423,11,0.4776,0.6364,1.441,-0.0994,0.044017875
0.53,0.45,9,0.06,30,3,-0.068,0.3333,-1.349,-0.068,6,0.1799,0.5,1.395,-0.0423,11,0.4776,0.6364,1.441,-0.0994,0.044017875
0.49,0.43,9,0.06,30,0,0.0,0.0,0.0,0.0,9,0.1021,0.4444,0.781,-0.0815,12,0.1222,0.3333,0.524,-0.0879,0.043312500000000004
0.55,0.45,6,0.08,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,12,0.6035,0.6667,1.646,-0.0854,0.043044375
0.53,0.47,6,0.07,30,4,-0.1472,0.5,-2.242,-0.1472,6,0.03,0.3333,0.329,-0.0859,13,0.5782,0.6923,1.614,-0.1179,0.04286700000000001
0.55,0.45,9,0.08,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,11,0.5989,0.7273,1.721,-0.0854,0.042664875000000005
0.55,0.43,12,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,7,0.1781,0.4286,0.703,-0.1053,0.0420875
0.55,0.43,15,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,7,0.1781,0.4286,0.703,-0.1053,0.0420875
0.55,0.43,9,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,7,0.1781,0.4286,0.703,-0.1053,0.0420875
0.55,0.47,9,0.07,30,4,-0.1098,0.5,-1.878,-0.1098,4,-0.0338,0.25,-1.222,-0.0455,12,0.5786,0.6667,1.661,-0.1245,0.04181100000000001
0.55,0.4,6,0.08,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,6,0.1846,0.5,0.718,-0.0854,0.041425
0.51,0.4,15,0.08,30,0,0.0,0.0,0.0,0.0,7,0.0162,0.2857,0.218,-0.0598,6,0.1573,0.5,0.712,-0.0409,0.04135
0.52,0.47,6,0.07,30,4,-0.1472,0.5,-2.242,-0.1472,8,0.0023,0.375,0.095,-0.1332,15,0.5681,0.6667,1.546,-0.1179,0.040891125
0.49,0.43,12,0.07,30,0,0.0,0.0,0.0,0.0,9,0.1241,0.4444,0.942,-0.0632,11,0.1009,0.3636,0.457,-0.0882,0.0407375
0.51,0.45,9,0.08,30,3,-0.152,0.0,-3.363,-0.152,8,0.0963,0.375,0.737,-0.0598,15,0.5162,0.6,1.448,-0.1228,0.040288874999999995
0.55,0.47,6,0.07,30,4,-0.1084,0.5,-1.867,-0.1084,4,-0.0338,0.25,-1.222,-0.0455,13,0.5527,0.6154,1.538,-0.1245,0.039731999999999996
0.53,0.45,15,0.06,30,3,-0.068,0.3333,-1.349,-0.068,5,0.07,0.4,0.698,-0.0504,11,0.4776,0.6364,1.441,-0.0994,0.039484500000000006
0.55,0.43,6,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,8,0.1663,0.375,0.666,-0.1053,0.0391375
0.49,0.43,15,0.06,30,0,0.0,0.0,0.0,0.0,9,0.048,0.4444,0.517,-0.0632,11,0.1294,0.4545,0.579,-0.0924,0.038349999999999995
0.52,0.45,12,0.06,30,3,-0.068,0.3333,-1.349,-0.068,8,0.1184,0.375,0.892,-0.0597,13,0.439,0.6154,1.434,-0.0994,0.03829650000000001
0.49,0.43,6,0.06,30,0,0.0,0.0,0.0,0.0,11,0.0237,0.4545,0.279,-0.0871,12,0.1408,0.4167,0.521,-0.1403,0.0381625
0.53,0.45,6,0.06,30,3,-0.068,0.3333,-1.349,-0.068,6,0.03,0.3333,0.329,-0.0859,12,0.478,0.6667,1.432,-0.0994,0.0378675
0.53,0.47,6,0.06,30,4,-0.0781,0.5,-1.47,-0.0781,6,0.03,0.3333,0.329,-0.0859,13,0.4773,0.6154,1.375,-0.1365,0.037393125000000006
0.55,0.45,12,0.08,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,11,0.5314,0.7273,1.736,-0.0854,0.037096125
0.52,0.43,6,0.06,30,0,0.0,0.0,0.0,0.0,8,-0.0093,0.25,-0.002,-0.1332,9,0.1528,0.4444,0.627,-0.0994,0.0370375
0.52,0.47,6,0.06,30,4,-0.0781,0.5,-1.47,-0.0781,8,0.0023,0.375,0.095,-0.1332,15,0.4838,0.6,1.366,-0.1365,0.03678674999999999
0.52,0.43,15,0.06,30,0,0.0,0.0,0.0,0.0,7,0.0292,0.2857,0.319,-0.0995,8,0.1315,0.375,0.549,-0.0994,0.036525
0.52,0.45,6,0.06,30,3,-0.068,0.3333,-1.349,-0.068,8,-0.0237,0.25,-0.128,-0.1332,14,0.4844,0.6429,1.418,-0.0994,0.036180375
0.49,0.45,15,0.08,30,3,-0.152,0.0,-3.363,-0.152,10,0.1087,0.5,0.878,-0.0632,15,0.4585,0.6667,1.393,-0.0945,0.036040125000000006
0.52,0.45,9,0.07,30,3,-0.1378,0.3333,-2.467,-0.1378,8,0.1184,0.375,0.892,-0.0597,13,0.4457,0.6923,1.311,-0.1179,0.035969999999999995
0.49,0.45,9,0.08,30,3,-0.152,0.0,-3.363,-0.152,10,0.1659,0.5,1.082,-0.0815,18,0.4171,0.6111,1.155,-0.2057,0.034984125000000005
